gene	wt1_rp	wt1_rna	wt2_rp	wt2_rna	wt3_rp	wt3_rna	wt4_rp	wt4_rna	wt5_rp	wt5_rna	Lucap78_rp_rep1	Lucap78_RNA_rep1	Lucap78_rp_rep2	Lucap78_RNA_rep2	Lucap147_rp_rep1	Lucap147_RNA_rep1	Lucap148_rp_rep2	Lucap147_RNA_rep2	Lucap81_rp_rep1	Lucap81_RNA_rep1	Lucap81_rp_rep2	Lucap81_RNA_rep2	Lucap92_rp_rep1	Lucap92_RNA_rep1	Lucap92_rp_rep2	Lucap92_RNA_rep2	Lucap145_rp_rep1	Lucap145_RNA_rep1	Lucap145_rp_rep2	Lucap145_RNA_rep2
A1BG	8	100	4	28	2	56	9	87	5	45	1	1	0	4	180	173	266	206	3	7	2	13	21	12	8	11	19	14	1	28
A1CF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	136	106	87	0	1	0	2
A2M	21215	14095	130675	6788	6351	9126	35018	10684	4087	14351	32	14	7	13	8	3	9	11	41	16	6	6	2	0	7	0	2	1	15	1
A2ML1	122	85	271	15	62	54	124	49	68	172	92	20	69	37	885	474	348	274	64	48	42	28	0	0	0	0	1	0	0	0
A3GALT2	0	1	0	0	0	4	0	7	0	6	0	1	0	1	0	2	0	2	0	2	0	3	0	0	0	0	8	33	3	24
A4GALT	59	258	135	62	90	358	105	226	46	296	10	5	14	7	2	3	1	3	33	24	7	15	0	2	1	0	5	6	4	16
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	359	371	694	110	119	241	577	444	152	542	1047	253	809	369	693	349	654	347	683	391	553	308	441	311	259	200	836	335	530	462
AACS	521	413	888	178	127	246	899	558	206	565	1375	474	1167	511	420	263	236	247	605	292	371	313	993	707	581	446	3940	1833	2478	2112
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AADACL4	0	1	0	1	0	1	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	187	323	192	34	3	25	239	306	81	446	208	66	180	87	68	54	57	60	20	21	19	19	163	236	92	125	100	129	111	178
AAED1	149	138	323	12	35	43	229	123	99	325	22	10	13	12	126	97	96	68	60	32	8	16	76	69	54	58	58	50	49	60
AAGAB	731	664	1479	81	176	268	1152	533	444	981	1223	429	1001	478	1295	571	1054	543	673	466	554	382	556	525	380	390	946	492	986	695
AAK1	622	981	970	225	150	306	666	758	195	776	1555	465	1164	576	506	298	469	268	658	306	473	350	537	557	287	254	416	265	351	254
AAMDC	164	148	276	16	23	26	206	120	90	218	565	86	427	105	198	71	227	94	226	95	134	70	113	62	80	47	294	109	226	163
AAMP	998	1747	2639	488	296	703	1272	1667	402	2031	2125	708	1401	875	1039	548	973	553	4345	2530	2239	1935	3624	1474	2073	839	1843	800	941	1088
AANAT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
AAR2	388	341	1037	117	155	244	771	363	92	241	897	221	820	308	543	242	389	234	672	206	538	321	950	555	564	314	941	322	617	458
AARD	1	1	5	0	1	1	1	1	1	2	0	0	0	0	2	1	8	6	0	0	1	0	0	0	0	0	0	0	0	0
AARS	3048	2419	8025	609	989	1384	5448	2749	1462	3286	3274	867	3369	1268	2557	1260	1368	862	4828	2778	3063	2038	6457	4084	2417	1671	7768	2917	4604	3465
